ip,name
192.168.110.2,pa-440-sjansen
192.168.110.20,Bridgecdc036bc0
192.168.110.21,M-KJ7GHKJYQV
192.168.110.22,Plug-TV
192.168.110.23,none-2
192.168.110.24,Plug-Sub
192.168.110.25,none
192.168.110.26,Plug-Coffee
192.168.110.27,Living-Room
192.168.110.28,Plug-Internet
192.168.110.29,Plug-Sarah
192.168.110.30,homeassistant
192.168.110.31,Plug-Washer
192.168.110.32,PC-192-168-110-32
192.168.110.33,Plug-Sven-Back
192.168.110.34,COVR-2200
192.168.110.35,none-3
192.168.110.36,ESP-1FABA8
192.168.110.37,Plug-3d-Printer
192.168.110.38,AHOY-DTU
192.168.110.39,00178865d295
192.168.110.40,jansvensen-w11
192.168.110.41,yeelink-light-ceiling10-mibt76F0
192.168.110.42,Plug-Dryer
192.168.110.43,plug-spare-1
192.168.110.44,COVR-2200
192.168.110.45,Galaxy-A34-5G
192.168.110.46,4aac1f86-bdc4-4c61-94df-0bf08ab0f939
192.168.110.47,iPhone-von-Sarah-2
192.168.110.48,hamAnb0120-4
192.168.110.49,PC-192-168-110-49
192.168.110.50,DESKTOP-Q4D0VMQ
192.168.110.51,iPad-5
192.168.110.52,svarahds
192.168.110.53,PC-192-168-110-53
192.168.110.54,55400d02-a698-45fc-9160-9fe8fedbc2ba
192.168.110.55,3014F711A00003D
192.168.110.57,PC-192-168-110-57
192.168.110.58,SonosZP
